"","id","season","goals","shots","hits","pim","powerPlayOpportunities","powerPlayGoals","giveaways","takeaways","goals_away","goals_home","shortHandedGoals","faceOffWins","faceOffTaken","PPpercentage","faceOffPercentage"
"121",36,"s20162017",260,2735,1851,768,223,44,552,547,122,138,10,2552,5255,0.197309417040359,0.485632730732636
"122",36,"s20172018",254,2957,1921,632,251,43,570,670,135,119,5,2606,5368,0.171314741035857,0.485469448584203
"123",10,"s20122013",152,1845,1879,528,197,28,433,355,64,88,5,1753,3534,0.142131979695431,0.496038483305037
"124",10,"s20132014",278,3452,2675,1057,367,61,987,726,150,128,13,3177,6556,0.166212534059946,0.484594264795607
"125",10,"s20142015",293,3169,2511,863,294,52,997,809,151,142,9,2836,6075,0.17687074829932,0.466831275720165
"126",10,"s20152016",243,2491,2388,763,245,44,862,633,112,131,4,2490,5038,0.179591836734694,0.494243747518857
"127",10,"s20162017",287,2834,2214,730,272,50,1066,745,143,144,12,2716,5634,0.183823529411765,0.48207312744054
"128",10,"s20172018",228,2538,1714,655,241,51,1039,713,104,124,5,2384,4838,0.211618257261411,0.492765605622158
"129",37,"s20122013",125,1521,1121,589,168,27,354,293,70,55,1,1656,3172,0.160714285714286,0.522068095838588
"130",37,"s20132014",234,2577,1787,911,290,50,540,666,108,126,5,2833,5540,0.172413793103448,0.511371841155235
"131",37,"s20142015",251,2789,1594,766,269,46,586,657,115,136,5,2789,5639,0.171003717472119,0.494591239581486
"132",37,"s20152016",230,2531,1560,599,275,52,586,541,108,122,7,2800,5361,0.189090909090909,0.522290617422123
"133",37,"s20162017",271,2710,1444,707,242,50,531,561,129,142,5,2752,5261,0.206611570247934,0.52309446873218
"134",37,"s20172018",259,2603,1473,744,253,52,566,496,118,141,7,2553,5132,0.205533596837945,0.49746687451286
"135",16,"s20122013",132,1395,1316,755,171,37,382,255,63,69,2,1408,2901,0.216374269005848,0.485349879351948
"136",16,"s20132014",249,2669,2404,1267,315,64,647,482,118,131,8,2725,5439,0.203174603174603,0.50101121529693
"137",16,"s20142015",212,2413,2511,833,256,60,588,413,94,118,3,2571,5027,0.234375,0.51143823353889
"138",16,"s20152016",217,2697,2401,1089,304,54,751,486,109,108,3,2719,5326,0.177631578947368,0.510514457378896
"139",16,"s20162017",212,2585,2063,844,277,54,736,427,95,117,4,2539,4857,0.194945848375451,0.522750669137328
"140",16,"s20172018",264,2780,1900,758,282,56,810,505,133,131,4,2725,5145,0.198581560283688,0.529640427599611
"141",17,"s20122013",211,1938,1698,785,231,55,414,326,106,105,4,1973,3867,0.238095238095238,0.510214636669253
"142",17,"s20132014",277,2891,2510,968,327,72,727,458,128,149,7,2872,5613,0.220183486238532,0.511669339034384
"143",17,"s20142015",225,2726,2647,1169,267,51,616,463,107,118,6,2568,5199,0.191011235955056,0.493941142527409
"144",17,"s20152016",314,3559,2675,874,338,66,857,671,144,170,12,3418,6803,0.195266272189349,0.502425400558577
"145",17,"s20162017",355,3470,2813,991,338,76,861,681,153,202,7,3262,6761,0.224852071005917,0.482473006951634
"146",17,"s20172018",312,3172,2314,889,304,78,852,665,146,166,6,2937,5811,0.256578947368421,0.505420753742901
"147",35,"s20122013",126,1390,1411,535,145,20,378,289,59,67,1,1344,2746,0.137931034482759,0.489439184268026
"148",35,"s20132014",219,2516,2313,973,259,40,735,526,99,120,5,2289,4882,0.154440154440154,0.46886521917247
"149",35,"s20142015",232,2557,2585,1096,282,50,818,558,101,131,10,2605,5345,0.177304964539007,0.487371375116932
"150",35,"s20152016",212,2429,2103,920,257,38,766,550,100,112,10,2257,4829,0.147859922178988,0.467384551667012
"151",35,"s20162017",246,2448,1906,835,264,48,769,592,117,129,10,2364,4873,0.181818181818182,0.485122101374923
"152",35,"s20172018",326,3210,2307,848,323,76,1016,702,144,182,9,3169,6105,0.235294117647059,0.519082719082719
"153",28,"s20142015",165,2393,2489,776,230,46,538,490,89,76,4,2666,5142,0.2,0.518475301439129
"154",28,"s20152016",208,2266,1815,1009,300,53,465,483,86,122,4,2762,5050,0.176666666666667,0.546930693069307
"155",28,"s20162017",191,2281,2098,809,235,38,607,403,90,101,8,2412,5025,0.161702127659574,0.48
"156",28,"s20172018",206,2450,1999,642,243,41,600,449,106,100,2,2429,5088,0.168724279835391,0.477397798742138
"157",38,"s20172018",325,3316,2535,805,313,65,977,1095,143,182,8,3076,6304,0.207667731629393,0.487944162436548
"158",6,"s20122013",192,2339,2045,798,185,29,616,424,89,103,6,2404,4292,0.156756756756757,0.560111835973905
"159",6,"s20132014",288,3009,2441,1014,264,59,715,614,137,151,9,2998,5784,0.223484848484848,0.518326417704011
"160",6,"s20142015",209,2546,2112,778,213,38,604,487,101,108,8,2686,5009,0.178403755868545,0.536234777400679
