"","playing_team_1","playing_team_2","won_1","won_2","goals1","shots1","hits1","pim1","powerPlayOpportunities1","powerPlayGoals1","giveaways1","takeaways1","faceOffWinPercentage1","goals2","shots2","hits2","pim2","powerPlayOpportunities2","powerPlayGoals2","giveaways2","takeaways2","faceOffWinPercentage2","count","wins","REG_1_team","REG_2_team","OT_1_team","OT_2_team","SO_1_team","SO_2_team"
"245",23,19,12,6,46,548,309,160,59,9,107,73,48.7055555555556,31,439,463,160,59,13,107,85,51.2944444444444,18,12,8,2,2,1,2,3
"246",23,20,7,3,25,246,198,138,24,6,75,76,50.42,19,289,183,93,36,3,57,61,49.58,10,7,5,1,2,1,0,1
"247",23,21,2,8,24,281,164,78,26,6,84,87,47.65,28,301,207,66,32,8,99,87,52.35,10,2,2,5,0,1,0,2
"248",23,22,9,17,57,763,532,271,74,14,255,199,48.1423076923077,65,749,730,261,87,15,221,218,51.8576923076923,26,9,8,10,0,2,1,5
"249",23,24,8,16,46,656,475,260,81,9,181,150,48.8625,78,666,491,264,85,16,169,174,51.1375,24,8,4,13,3,2,1,1
"250",23,25,3,7,20,242,232,88,26,4,96,66,45.21,27,298,273,78,31,5,102,80,54.79,10,3,2,3,1,3,0,1
"251",23,26,14,10,67,615,572,166,57,12,149,225,46.325,57,688,511,156,63,8,202,242,53.675,24,14,12,9,1,0,1,1
"252",23,27,3,7,17,293,168,79,29,5,35,80,47.2,19,288,208,65,36,3,55,71,52.8,10,3,3,4,0,1,0,2
"253",23,28,6,4,29,278,244,91,26,7,42,40,49.02,24,307,230,77,34,6,30,58,50.98,10,6,5,3,1,0,0,1
"254",23,29,2,8,17,265,220,80,32,3,97,64,47.74,30,322,170,76,34,5,94,66,52.26,10,2,2,7,0,0,0,1
"255",23,30,8,10,43,552,344,190,58,12,130,139,47.1722222222222,46,494,454,201,51,13,132,117,52.8277777777778,18,8,4,7,2,0,2,3
"256",23,31,10,13,53,638,514,307,70,13,159,147,49.9217391304348,67,726,474,255,92,15,144,150,50.0782608695652,23,10,8,11,0,1,2,1
"257",23,32,3,7,21,244,260,74,32,8,89,55,43,33,266,241,78,26,6,71,47,57,10,3,2,6,1,1,0,0
"258",23,33,8,10,48,476,357,196,50,12,117,82,47.15,46,514,346,171,60,8,127,123,52.85,18,8,7,7,1,3,0,0
"259",23,34,5,5,25,255,172,56,25,8,88,68,47.24,28,311,199,56,25,4,70,77,52.76,10,5,2,4,2,1,1,0
"260",23,35,3,10,21,340,213,73,36,3,110,74,48.3692307692308,37,365,320,83,32,3,94,81,51.6307692307692,13,3,1,9,0,0,2,1
"261",23,36,6,15,43,584,370,158,66,12,104,93,46.652380952381,62,588,475,182,61,7,80,125,53.347619047619,21,6,6,13,0,1,0,1
"262",23,37,7,3,30,268,165,79,26,4,67,34,48.64,30,280,168,78,33,8,43,54,51.36,10,7,4,3,3,0,0,0
"263",23,38,1,1,10,63,63,14,5,2,17,10,48.65,6,69,59,10,7,3,16,20,51.35,2,1,1,1,0,0,0,0
"264",23,5,8,10,44,556,437,168,67,11,165,147,45.5,40,504,525,158,67,15,186,155,54.5,18,8,6,5,0,1,2,4
"265",23,6,4,14,35,510,395,152,62,12,152,129,47.3111111111111,47,537,408,181,48,10,122,114,52.6888888888889,18,4,4,10,0,1,0,3
"266",24,11,7,3,36,279,272,91,26,9,92,88,50.07,25,335,173,65,33,6,83,70,49.93,10,7,6,3,1,0,0,0
"267",24,12,10,5,41,456,347,103,56,14,141,105,49.9666666666667,34,443,294,122,48,9,122,100,50.0333333333333,15,10,5,2,3,1,2,2
"268",24,14,3,7,26,262,278,86,28,5,103,59,45.3,25,307,327,84,29,4,85,46,54.7,10,3,3,4,0,1,0,2
"269",24,15,3,7,26,297,253,100,29,5,103,70,54.58,36,300,193,80,39,8,87,73,45.42,10,3,1,7,2,0,0,0
"270",24,18,7,3,36,281,196,78,27,9,72,57,45.18,26,315,246,89,29,4,47,76,54.82,10,7,6,3,1,0,0,0
"271",24,20,6,4,31,289,197,122,24,3,92,64,49.26,26,316,167,68,41,11,74,81,50.74,10,6,6,4,0,0,0,0
